Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
99%_DR,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,827,1.0
95%_DR,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,827,1.0
5%_DR,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.92 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.92 E-1,nan,nan,9.89 E-1,nan,nan,9.91 E-1,nan,nan,827,1.0
1%_DR,9.89 E-1,nan,nan,9.90 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.91 E-1,nan,nan,9.90 E-1,nan,nan,9.87 E-1,nan,nan,9.91 E-1,nan,nan,827,1.0
Min_DR,9.87 E-1,8.72 E-2,1.14 E+1,9.87 E-1,7.48 E-2,9.25 E0,9.85 E-1,6.17 E-2,8.19 E0,9.88 E-1,8.09 E-2,9.75 E0,9.84 E-1,6.94 E-2,1.15 E+1,9.84 E-1,6.94 E-2,1.15 E+1,9.80 E-1,2.83 E-2,3.81 E0,9.81 E-1,2.88 E-2,1.15 E0,827,1.0
Max_DR,9.96 E-1,2.95 E-1,6.33 E0,9.97 E-1,3.02 E-1,3.73 E0,9.97 E-1,3.28 E-1,4.54 E0,9.97 E-1,2.84 E-1,3.68 E0,9.97 E-1,3.60 E-1,6.73 E0,9.97 E-1,3.28 E-1,4.54 E0,9.97 E-1,3.34 E-1,6.09 E0,9.95 E-1,2.15 E-1,4.59 E0,673,1.5
99%_DR,9.95 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,9.94 E-1,nan,nan,673,1.5
95%_DR,9.94 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.93 E-1,nan,nan,9.92 E-1,nan,nan,673,1.5
5%_DR,9.83 E-1,nan,nan,9.85 E-1,nan,nan,9.87 E-1,nan,nan,9.89 E-1,nan,nan,9.88 E-1,nan,nan,9.86 E-1,nan,nan,9.83 E-1,nan,nan,9.84 E-1,nan,nan,673,1.5
1%_DR,9.75 E-1,nan,nan,9.81 E-1,nan,nan,9.82 E-1,nan,nan,9.84 E-1,nan,nan,9.81 E-1,nan,nan,9.81 E-1,nan,nan,9.82 E-1,nan,nan,9.77 E-1,nan,nan,673,1.5
