Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
Min_DR,0.0019567241183520876,0.199959,8.481076,0.002191223236830506,0.2112063333333333,7.308315333333333,0.0016210919803350543,0.203182,9.72937,0.0014217433122349556,0.2697623333333333,8.601562333333334,0.001537151540351645,0.203426,10.104985666666666,0.0014217433122349556,0.2697623333333333,8.601562333333334,0.0018986334362119763,0.2152265,8.2108745,0.0014459577152079188,0.246593,9.140351,814,1
Max_DR,0.0057628124173604335,0.05894433333333333,3.749261333333333,0.0055404261051486365,0.06626066666666668,3.2814286666666668,0.005624178290034717,0.06270833333333334,3.2711753333333333,0.005231884226271735,0.07544599999999999,2.87041275,0.005288209500551881,0.07812200000000001,3.449802333333333,0.0057628124173604335,0.05894433333333333,3.749261333333333,0.006730521257520989,0.02833706242161169,3.812333666666666,0.005863151651276539,0.047324,2.828172,827,1
99%_DR,0.005379020617559678,nan,nan,0.005231199810207268,nan,nan,0.00534978638114958,nan,nan,0.00496740033595514,nan,nan,0.004837468987272804,nan,nan,0.005220449708783715,nan,nan,0.005720922873287655,nan,nan,0.005318083496851168,nan,nan,827,1
95%_DR,0.004970423949774334,nan,nan,0.004998711265459578,nan,nan,0.00499696529372223,nan,nan,0.004603490908035553,nan,nan,0.004433490418200811,nan,nan,0.004906758048666354,nan,nan,0.005407887698689848,nan,nan,0.004672611846878955,nan,nan,827,1
5%_DR,0.0027450364791197774,nan,nan,0.002897685027479402,nan,nan,0.002840865389837813,nan,nan,0.002365683118265524,nan,nan,0.0021840691580315838,nan,nan,0.0025110569341480135,nan,nan,0.002941204115359184,nan,nan,0.0024336842870657017,nan,nan,827,1
1%_DR,0.00240417382180475,nan,nan,0.0024496960262360805,nan,nan,0.002347501276814878,nan,nan,0.0018976021032232843,nan,nan,0.001865076256707485,nan,nan,0.002022074003776643,nan,nan,0.0024929810942371246,nan,nan,0.0020102176620352104,nan,nan,827,1
Min_DR,0.0018774968218662996,0.21065,8.433095666666667,0.0021115714930727294,0.051165,0.698782,0.0015942336430905357,0.216353,9.405359,0.0013830519347124497,0.28062133333333333,8.492767666666667,0.0014910971542261826,0.21548066666666665,9.906345333333334,0.0013830519347124497,0.28062133333333333,8.492767666666667,0.0022060816213095437,0.1086726666666667,11.429353,0.0014799724924125868,0.26605,8.440109,827,1
Max_DR,0.001904502494257753,0.063732,3.985426,0.002045716851104379,0.07502133333333333,2.0817263333333336,0.0018663245810073522,0.09035800000000001,2.5801323333333332,0.0017700506938921616,0.1031125,2.191636,0.0016061868269845077,0.09540399999999999,3.676574,0.002045716851104379,0.07502133333333333,2.0817263333333336,0.0025915864024833616,0.03621108122662699,2.1626915416167023,0.002589872208913533,0.024796374076105968,1.5991320782595013,673,1.5
99%_DR,0.0014686403400557121,nan,nan,0.0018611476594797367,nan,nan,0.0015920855194795185,nan,nan,0.0012190080398315343,nan,nan,0.001210873401745418,nan,nan,0.001641683368013117,nan,nan,0.001689500342800809,nan,nan,0.0011796787895467851,nan,nan,673,1.5
95%_DR,0.001087264217215851,nan,nan,0.0015571209259948406,nan,nan,0.001376366443204564,nan,nan,0.0007909757357600267,nan,nan,0.0007786338060841477,nan,nan,0.0012247429778079544,nan,nan,0.0014751474831474181,nan,nan,0.0007849595726312272,nan,nan,673,1.5
5%_DR,0.0002110450123544332,nan,nan,0.00025424582696571563,nan,nan,0.00021527919005286214,nan,nan,0.0001317768985627886,nan,nan,9.854661342854483e-05,nan,nan,0.00015208859893855612,nan,nan,0.00023018205697567865,nan,nan,0.0002259350617178483,nan,nan,673,1.5
