Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
5%_DR,0.9902145371790584,,,0.9909878003015917,,,0.9911549091959436,,,0.9924966190695635,,,0.992260533689765,,,0.9911683180711619,,,0.9890560300240933,,,0.9908554296161424,,,814,1.0
1%_DR,0.9870671650927261,,,0.988116265665465,,,0.9890292841581588,,,0.9907317957673569,,,0.9898764572799402,,,0.9889866326755559,,,0.9876433191324726,,,0.98798713640684,,,814,1.0
Min_DR,0.9850046224813712,0.0761135,11.8122155,0.9845656160588272,0.06429,9.529553,0.9825289876679232,0.051436,8.24276,0.9850174799535119,0.06902,10.159493,0.9805299235682006,0.059921,12.0293495,0.9805299235682006,0.059921,12.0293495,0.9816029848738436,0.02814398828627161,1.6768232343824236,0.981159199667209,0.02809234150497563,1.209470398892963,814,1.0
Max_DR,0.9972671537402411,0.228419,4.856519,0.9973876454305324,0.217586,3.3268709999999997,0.9979867816511719,0.27761399999999997,3.727661666666666,0.9975207716726581,0.2763333333333333,6.756062333333333,0.9975407965373122,0.277552,6.713627,0.9979867816511719,0.27761399999999997,3.727661666666666,0.9981507331053776,0.2680525,1.958944,0.9971246845489692,0.203643,3.62443975,827,1.0
99%_DR,0.9964180344176523,,,0.9963680673750273,,,0.9966696396925886,,,0.9968436987422722,,,0.9968370638974782,,,0.9966880519554165,,,0.9963427281150001,,,0.9968092599081735,,,827,1.0
95%_DR,0.9957757638046453,,,0.9958591965356699,,,0.9959537407499311,,,0.9962618272023517,,,0.9962091432986795,,,0.9960486801403173,,,0.9955450670590751,,,0.9957643240721382,,,827,1.0
5%_DR,0.9914091127001297,,,0.991570957220089,,,0.9920227328427507,,,0.9930026063591867,,,0.9928975181633695,,,0.9920671509172353,,,0.9887760238018732,,,0.9914834402011259,,,827,1.0
1%_DR,0.9892710711702115,,,0.9895430132204889,,,0.9905131752328078,,,0.9917320306859149,,,0.9909969610767901,,,0.9901397444549369,,,0.9874679683664164,,,0.9905674253401695,,,827,1.0
Min_DR,0.98737419952539,0.08723,11.386322,0.9870330886081579,0.074795,9.254725,0.9854049083151605,0.061713,8.190409,0.9876523135188896,0.080921,9.752535,0.9838146744751667,0.0693875,11.4614355,0.9838146744751667,0.0693875,11.4614355,0.979951107760375,0.02833706242161169,3.812333666666666,0.9813965048143469,0.028784446636345683,1.154837858172446,827,1.0
Max_DR,0.9963377342077445,0.294861,6.3298,0.9971756433179767,0.301551,3.732023,0.9972529882759618,0.327847,4.5424966666666675,0.9969762360391606,0.284262,3.684638,0.9970665190739082,0.359725,6.729765,0.9972529882759618,0.327847,4.5424966666666675,0.9969361102822263,0.3343585,6.093129,0.9953541113185581,0.214867,4.586466,673,1.5
99%_DR,0.994921524810354,,,0.9957106127418336,,,0.9959751456113359,,,0.9961024741174077,,,0.9958888181003615,,,0.9958900502696052,,,0.9947105256303675,,,0.9939002288218929,,,673,1.5
95%_DR,0.9938848184248172,,,0.9946002921175255,,,0.9949244145000055,,,0.9953349144233167,,,0.9952659460638582,,,0.9949737875204142,,,0.9934256817419825,,,0.9920762123165694,,,673,1.5
5%_DR,0.9832637764846447,,,0.9851902464276167,,,0.9871144688294486,,,0.9886663795665221,,,0.9880861948915818,,,0.9858032144406461,,,0.9830207245940886,,,0.9838020637936251,,,673,1.5
1%_DR,0.9751651973334522,,,0.9805253989741771,,,0.982375449390606,,,0.9837838763499989,,,0.9811556843107695,,,0.9805253989741771,,,0.981572030538099,,,0.9773260236563323,,,673,1.5
Min_DR,0.9601031605505376,0.062182,14.377233,0.9715984634840815,0.05556,7.479989,0.9803423615302757,0.086373,8.7995485,0.9698413713931291,0.078961,14.153131,0.9530281272181343,0.059758,17.004705,0.9530281272181343,0.059758,17.004705,0.9741261433934106,0.092646,14.863581,0.9693439418096524,0.024796374076105968,1.5991320782595013,673,1.5
Max_DR,0.995101212455043,0.244096,6.996942,0.9965248378878729,0.2561795,3.8038030000000003,0.9968566864496998,0.2921803333333333,4.448116333333333,0.9962820472283576,0.352678,9.942594,0.9967587421976725,0.3256555,6.3774235,0.9968566864496998,0.2921803333333333,4.448116333333333,0.9961504973457677,0.2861575,6.479428,0.9944809766353031,0.185692,4.545688,686,1.5
99%_DR,0.9939739808367944,,,0.9947634537175396,,,0.9950280367999635,,,0.9954168410944307,,,0.9951998792906525,,,0.9949504320549653,,,0.9939134476141476,,,0.9916201010010134,,,686,1.5
95%_DR,0.9927624724371298,,,0.9936689624411413,,,0.993674885224404,,,0.994217626232388,,,0.9941449839750462,,,0.99388320987767,,,0.9922803057985679,,,0.9904880022614576,,,686,1.5
5%_DR,0.9813511439239034,,,0.9833726624433431,,,0.9849665967748812,,,0.986933139840156,,,0.9865861993630176,,,0.9839175157139641,,,0.9804739241224325,,,0.9808734892374228,,,686,1.5
1%_DR,0.9727425473099355,,,0.9784529715414706,,,0.9801112613025799,,,0.9812003376401152,,,0.9789658366212783,,,0.9784231807273354,,,0.9786710757451892,,,0.9739576378359336,,,686,1.5
Min_DR,0.9574147239964526,0.057156,13.862836,0.9680798616552716,0.046637,6.869022,0.9612481091258396,0.067247,15.594535,0.9657865969855364,0.068955,13.604711,0.9496275621855803,0.054601,16.357962,0.9496275621855803,0.054601,16.357962,0.971272867240274,0.083829,14.582282,0.9676479059529595,0.023135574501162864,1.691831048760707,686,1.5
Max_DR,0.9945562668714585,0.236982,7.908651,0.9959993792376156,0.226892,3.733715,0.9966071001521686,0.269554,4.202249000000001,0.995524835104231,0.2850526666666667,8.473302,0.9961318137999102,0.28109150000000005,6.2604855,0.9966071001521686,0.269554,4.202249000000001,0.9957628033310009,0.260609,6.21306275,0.9940204203673058,0.172222,4.44683125,701,1.5
99%_DR,0.9931308087566862,,,0.9941173043392597,,,0.9943718626771783,,,0.9944041945818547,,,0.9944776183775917,,,0.9942859259205645,,,0.9931320050966906,,,0.9912015258268158,,,701,1.5
95%_DR,0.9919342300204141,,,0.9928697644159343,,,0.9926862416798686,,,0.9934820725748211,,,0.993450105154165,,,0.9930688787938869,,,0.9911288291018387,,,0.9896102813049075,,,701,1.5
5%_DR,0.9798769205632595,,,0.9822454196283346,,,0.9833873771754675,,,0.9856863607602713,,,0.9855363180558738,,,0.9825968501149217,,,0.9789755150733018,,,0.9791126668254341,,,701,1.5
1%_DR,0.9719711978208437,,,0.9764360314471071,,,0.9777202025554149,,,0.9786071902501199,,,0.9775540926199316,,,0.9767887571459083,,,0.9769271105390094,,,0.9729508876011193,,,701,1.5
Min_DR,0.9569182023143163,0.054678,13.196196,0.9669431687119404,0.043745,6.604427,0.9582031599771565,0.045629,9.811222,0.9636757771872899,0.062705,12.767213,0.9490270686444948,0.051948,15.456779,0.9490270686444948,0.051948,15.456779,0.9689030994688068,0.077184,14.243995,0.9652317067562821,0.02075495312407325,1.6905660131459481,701,1.5
Max_DR,0.9941708806872086,0.221345,7.66967,0.9955845057995016,0.2079455,3.6686845000000003,0.9963254787464356,0.24985499999999997,4.063062333333334,0.9949690819437774,0.25259666666666664,7.9345446666666675,0.9952398553943249,0.23490650000000002,6.0570474999999995,0.9963254787464356,0.24985499999999997,4.063062333333334,0.9951533945849008,0.228645,5.8771302500000004,0.9938887897351452,0.1668145,4.2866985,724,1.5
99%_DR,0.9926753791584833,,,0.9935323039140362,,,0.9932778603469951,,,0.9938291748826434,,,0.9937490915213179,,,0.993493947015875,,,0.9922384799074413,,,0.9910133138782391,,,724,1.5
95%_DR,0.9914179463050986,,,0.9922409734849738,,,0.9917887481234624,,,0.992708230290926,,,0.9924598821658372,,,0.9923420716886,,,0.9904811296626344,,,0.9892636959928043,,,724,1.5
5%_DR,0.9803619941840148,,,0.9828097307399146,,,0.9835445517454018,,,0.9858996435038022,,,0.9850017537396284,,,0.9829463575770162,,,0.9789861211434572,,,0.97957139669772,,,724,1.5
1%_DR,0.972572286395101,,,0.9797241140483509,,,0.9777622121985629,,,0.9819011267609645,,,0.9804454052506169,,,0.9775969991490668,,,0.9769027375617466,,,0.9754898639574698,,,724,1.5
Min_DR,0.9664399662661809,0.0630455,11.516481500000001,0.9692324585819214,0.065599,10.824735,0.9622611034629599,0.048393,9.22542,0.9738045832129184,0.086064,13.339534,0.955607234132516,0.057728,14.909114500000001,0.955607234132516,0.057728,14.909114500000001,0.9695228630090579,0.076509,13.641445,0.9642201493025322,0.019620575985972312,1.5664698958476797,724,1.5
Max_DR,0.9957639010206931,0.246961,5.431328,0.9964492910282537,0.24631999999999998,3.534919,0.9969821683766729,0.29099366666666665,3.964071666666667,0.9961794192322201,0.306358,7.523082333333334,0.9963942850483412,0.285775,5.669159,0.9969821683766729,0.29099366666666665,3.964071666666667,0.9946787881922148,0.20763725,5.59258425,0.9952079170924133,0.20066525,4.0597065,754,1.5
99%_DR,0.9942893272869343,,,0.9946755277734473,,,0.9949045449760396,,,0.9951344764647228,,,0.9949706706116753,,,0.9947675038470806,,,0.9937090729387684,,,0.9933873024540395,,,754,1.5
95%_DR,0.9929751655977263,,,0.993703603971872,,,0.9936136066938605,,,0.9941833117932224,,,0.9937668585948287,,,0.9937527971289485,,,0.9923746824181092,,,0.9920550501353548,,,754,1.5
5%_DR,0.9851562243625701,,,0.9865743491118354,,,0.9871168936811099,,,0.9884549750092093,,,0.9879869803313274,,,0.9867770581448978,,,0.9831849566542665,,,0.9845141472042553,,,754,1.5
1%_DR,0.9804401321637135,,,0.9846790442908201,,,0.9840544306326852,,,0.9864123593490065,,,0.9845352128440161,,,0.9830280497413882,,,0.9810781440649322,,,0.98231369337701,,,754,1.5
Min_DR,0.9761225453606872,0.073955,9.074505,0.976223493476191,0.079981,10.254253,0.971370146691193,0.063059,9.185596,0.9784570808632154,0.0890065,10.6151965,0.9680658819719401,0.073392,13.6291495,0.9680658819719401,0.073392,13.6291495,0.9725262180628975,0.029431024302782806,1.8586468120284159,0.9692467950851925,0.024257699476898622,1.3193362415659247,754,1.5
