Quantile,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
99%_DR,0.00021188085163635642,0.0003384210689447536,0.00028610922740140944,0.00018217003393571014,0.00018192354257933103,0.0002595813958984684,0.00028486203908081935,0.00019163201495561754,814,1.5
95%_DR,0.00012715656327901147,0.00019878128133765506,0.00020493755379634722,8.79816460020935e-05,7.591221774470355e-05,0.00015358613627937585,0.00020437010324704137,6.192222329501218e-05,814,1.5
5%_DR,8.947426662356508e-06,1.0363643368880715e-05,9.70414445576134e-06,5.273273106190816e-06,3.943005428095728e-06,6.231098852781228e-06,7.536526354038389e-06,4.81989947449706e-06,814,1.5
1%_DR,5.377821001605384e-06,5.957743144785623e-06,4.846041238243784e-06,2.434604372168368e-06,2.348023278894914e-06,3.012544894177343e-06,4.052826962706554e-06,2.6452201256805416e-06,814,1.5
Min_DR,2.4274806982901945e-06,3.5336355553168783e-06,1.3508434252910786e-06,8.239286950792169e-07,1.152668914117901e-06,8.239286950792169e-07,2.174509136722802e-06,8.868934047602284e-07,814,1.5
Max_DR,0.0003535335571155389,0.0004509451675764041,0.00040093518059270924,0.000367530944305664,0.00022166236863518224,0.0004509451675764041,0.0003799467732531117,0.0005680951038642438,827,1.5
99%_DR,0.0001886173811158162,0.0003950895174608803,0.0002816945254185484,0.00016579334190136498,0.00016665613563091063,0.00027627452934455595,0.0002700259226100816,0.0002317899119853782,827,1.5
95%_DR,0.00011522002447588071,0.00021454306747148435,0.0001937847333806751,7.93794931848026e-05,6.713799626776951e-05,0.0001438671939904285,0.0001835344594959819,6.66150980288586e-05,827,1.5
5%_DR,7.806983695813531e-06,9.640928027841788e-06,8.820606018899573e-06,4.684501612757765e-06,3.598233069020202e-06,5.723918387151156e-06,1.0169256254624181e-05,5.321864985268614e-06,827,1.5
1%_DR,4.913041699402684e-06,5.36054817638837e-06,4.479672316729688e-06,2.167047478933069e-06,2.0649295266149926e-06,2.770920890474034e-06,5.508727654350113e-06,2.735583219539971e-06,827,1.5
